﻿Класс;Ключевые слова
managers;'менеджер', 'продаж', 'клиент', 'продавец', 'агент'
analytics; 'аналитик', 'анализ', 'analysts'
programmer;'программист', 'web-разработчик', 'web-программист', 'junior', 'middle', 'senior', 'java', 'c#','python', 'javascript', 'it-специалист', '1c', 'web', 'php', 'frontend', 'backend', 'back'
engineer;'инженер', 'коммутация', 'техник', 'ремонт'
admin;'системный', 'администратор'
team lead;'руководитель', 'начальник', 'главный'
support;'поддержка', 'диспетчер', 'колл', 'call', 'оператор', 'обращение'
tester;'тестировщик', 'тестирование'
data scientist;'data'
other